7050,Laureate Court Apartment Building 710 Nobel Drive,Laureate Court Apartment Building 710 Nobel Drive,Laureate Court Apartment Building 710 Nobel Drive,L CT APT 710,7050,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,710 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,710 NOBEL DRIVE,5245,44,2,3,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7051,Laureate Court Apartment Building 720 Nobel Drive,Laureate Court Apartment Building 720 Nobel Drive,Laureate Court Apartment Building 720 Nobel Drive,L CT APT 720,7051,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,720 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,720 NOBEL DRIVE,5245,44,3,8,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7052,Laureate Court Apartment Building 722 Nobel Drive,Laureate Court Apartment Building 722 Nobel Drive,Laureate Court Apartment Building 722 Nobel Drive,L CT APT 722,7052,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,722 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,722 NOBEL DRIVE,5245,44,3,6,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7053,Laureate Court Apartment Building 724 Nobel Drive,Laureate Court Apartment Building 724 Nobel Drive,Laureate Court Apartment Building 724 Nobel Drive,L CT APT 724,7053,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,724 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,724 NOBEL DRIVE,5245,44,3,4,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7054,Laureate Court Apartment Building 726 Nobel Drive,Laureate Court Apartment Building 726 Nobel Drive,Laureate Court Apartment Building 726 Nobel Drive,L CT APT 726,7054,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,726 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,726 NOBEL DRIVE,5245,44,3,4,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7055,Laureate Court Apartment Building 730 Nobel Drive,Laureate Court Apartment Building 730 Nobel Drive,Laureate Court Apartment Building 730 Nobel Drive,L CT APT 730,7055,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,730 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,730 NOBEL DRIVE,5245,44,3,4,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7056,Laureate Court Apartment Building 732 Nobel Drive,Laureate Court Apartment Building 732 Nobel Drive,Laureate Court Apartment Building 732 Nobel Drive,L CT APT 732,7056,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,732 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,732 NOBEL DRIVE,5245,44,3,6,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7057,Laureate Court Apartment Building 740 Nobel Drive,Laureate Court Apartment Building 740 Nobel Drive,Laureate Court Apartment Building 740 Nobel Drive,L CT APT 740,7057,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,740 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,740 NOBEL DRIVE,5245,44,3,6,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7058,Laureate Court Apartment Building 742 Nobel Drive,Laureate Court Apartment Building 742 Nobel Drive,Laureate Court Apartment Building 742 Nobel Drive,L CT APT 742,7058,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,742 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,742 NOBEL DRIVE,5245,44,3,8,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7059,Laureate Court Apartment Building 744 Nobel Drive,Laureate Court Apartment Building 744 Nobel Drive,Laureate Court Apartment Building 744 Nobel Drive,L CT APT 744,7059,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,744 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,744 NOBEL DRIVE,5245,44,3,4,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
